rule,paragraph,directive
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,1.18 Arrest of a Law Enforcement Officer From Another Jurisdiction 9 Central Evidence and Property Commander's Responsibilities
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,1.18 Arrest of a Law Enforcement Officer From Another Jurisdiction 10-11 Public Integrity Bureau Responsibilities
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,1.22 Arrest of a City of New Orleans Employee 1-3 Arresting Officer's Responsibilities
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,1.22 Arrest of a City of New Orleans Employee 4-9 Supervisor's Responsibilities
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,1.22 Arrest of a City of New Orleans Employee 10-11 Public Integrity Bureau Responsibilities
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,1.24 In-Custody Deaths 1 Member's Responsibilities
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,1.24 In-Custody Deaths 2 Supervisor's Responsibilities
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,1.24 In-Custody Deaths 3 Communication Services Responsibilities
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,1.25 Concealed Handgun Permit 1-2 State Issued Concealed Handgun Permit
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,1.25 Concealed Handgun Permit 3-4 Application Process
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,1.25 Concealed Handgun Permit 5 Permit Issued in Another State
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,"1.25 Concealed Handgun Permit 6-10 Temporary Disarming, Seizing or Revoking Permits and Handguns"
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,1.25 Concealed Handgun Permit 11-12 Carrying Concealed Firearms Restrictions
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,1.25 Concealed Handgun Permit 13 Records
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,11 Organizational Command Responsibility 1-2 Command Protocol
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,11 Organizational Command Responsibility 3-6 Office of the Superintendent
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,11 Organizational Command Responsibility 7-10 Hierarchy of Authority
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,11 Organizational Command Responsibility 11-12 Unity of Command
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,11 Organizational Command Responsibility 13 Orders
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,11 Organizational Command Responsibility 14-19 Unlawful and Conflicting Orders
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,"11.0.1 Duties and Responsibilities of District Commanders, Supervisory Members and Officers 1 Policy Statement"
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,"11.0.1 Duties and Responsibilities of District Commanders, Supervisory Members and Officers 2-5 General Information"
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,"11.0.1 Duties and Responsibilities of District Commanders, Supervisory Members and Officers 6-15 District Commander Duties and Responsibilities"
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,"11.0.1 Duties and Responsibilities of District Commanders, Supervisory Members and Officers 16-33 District Supervisors' Duties and Responsibilities"
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,"11.0.1 Duties and Responsibilities of District Commanders, Supervisory Members and Officers 34-36 District Patrol Officers-General"
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,11.1 Organizational Structure  Office of the Superintendent
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,11.1 Organizational Structure  Field Operations Bureau
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,11.1 Organizational Structure  Investigations & Support Bureau
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,11.1 Organizational Structure  Public Integrity Bureau
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,11.1 Organizational Structure  Compliance Bureau
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,11.1 Organizational Structure  Management Services Bureau
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,11.4.1 Audits and Reviews 1-4 Policy Statement
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,11.4.1 Audits and Reviews 5-18 Audit and Review Unit
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,12.1 Department Operations Manual 1-6 Policy Statement
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,12.1 Department Operations Manual 7 Responsibilities
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,12.1 Department Operations Manual 8-10 Superintendent of Police
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,12.1 Department Operations Manual 11 Superintendent's Staff
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,12.1 Department Operations Manual 12 Department Members
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,12.1 Department Operations Manual 13 Chapter Formatting Conventions
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,12.1 Department Operations Manual 14-15 Distribution
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,12.1 Department Operations Manual 16-17 Manual Acceptance/Acknowledgment
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,12.1 Department Operations Manual 18-20 Revisions to Chapters
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,12.1 Department Operations Manual 21-22 Periodic Review
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,12.1 Department Operations Manual 23 Supervisory Members
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,12.1 Department Operations Manual 24-27 Policy Standards Section
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,12.1 Department Operations Manual 28-30 Recommendations For New Policies
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,12.2 Department Orders 1-4 General Order Protocol
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,12.2 Department Orders 5-12 Special Orders Protocol
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,12.2 Department Orders 13-18 Personal Orders
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,12.2 Department Orders 19-31 Operations Orders
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,12.2 Department Orders 32-42 Policy Standards Section
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,12.2 Department Orders 43 Superintendent of Police
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,12.2 Department Orders 44-46 Supervisors
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,12.2 Department Orders 47-51 Acceptance of Departmental Orders
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,13.8 Administrative Communications 1-4 Correspondence
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,13.8 Administrative Communications 5 Surveys
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,13.8 Administrative Communications 6 Other Communications
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,13.8 Administrative Communications 7-8 Information Bulletins
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,13.8 Administrative Communications 9-10 Official Correspondence
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,13.8 Administrative Communications 11-15 Interoffice Correspondence
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,13.8 Administrative Communications 16-17 Information Bulletins
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,13.15 Overtime Payment Requests 1-8 Policy Statement
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,13.15 Overtime Payment Requests 9-10 Request for Overtime Forms
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,13.15 Overtime Payment Requests 11 Employee Responsibility
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,13.15 Overtime Payment Requests 12 Accounting For Overtime Worked
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,13.15 Overtime Payment Requests 13 Accounting For Portions of an Hour
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,13.15 Overtime Payment Requests 14-19 J and T Time (Flex Time)
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,13.15 Overtime Payment Requests 20 Variation in Time Reported
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,13.15 Overtime Payment Requests 21 Overtime During Emergency Event
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,13.19 Excusal From the Night Watch For Court Appearance 1 Policy Statement
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,13.19 Excusal From the Night Watch For Court Appearance 2-4 Excusal Approval Process
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,13.19 Excusal From the Night Watch For Court Appearance 5 Payroll Entries for Approved Excusal
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,13.24 Fire Plan For Police Headquarters 1-4 Alarm System Activation
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,13.24 Fire Plan For Police Headquarters 1-2 Stairways
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,13.24 Fire Plan For Police Headquarters 3-7 Fire Fighting Equipment
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,13.24 Fire Plan For Police Headquarters 8-10 First Floor Police Security Desk
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,13.24 Fire Plan For Police Headquarters 11-14 Evacuation of Police Headquarters
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,13.25 Lost or Misplaced Driver's License 1-4 Procedure
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,13.27.1 Job Performance Improvement Plan 1-5 Policy Statement
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,13.27.1 Job Performance Improvement Plan 6-7 Guidelines
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,13.27.1 Job Performance Improvement Plan 9-11 Supervisor's Guidelines
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,13.27.1 Job Performance Improvement Plan 12 Conducting a Job Performance Improvement Plan Meetings: Before Meeting With the Employee
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,13.27.1 Job Performance Improvement Plan 13 Conducting a Job Performance Improvement Plan Meetings: During the Meeting With the Employee
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,13.27.1 Job Performance Improvement Plan 14 Conducting a Job Performance Improvement Plan Meetings: After the Meeting
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,13.27.1 Job Performance Improvement Plan 15-21 Completing the Job Performance Improvement Plan Form
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,13.27.1 Job Performance Improvement Plan 22-24 Failure to Meet Performance Expectations
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,13.29 Self-Identification/Building Security 1-2 Policy Statement
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,13.29 Self-Identification/Building Security 3-20 Instructions
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,13.29 Self-Identification/Building Security Appendix A Credentials
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,13.34 Evaluation of Employees 1-3 Policy Statement
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,13.34 Evaluation of Employees 4-22 Probationary Employees
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,13.34 Evaluation of Employees 23-31 Departmental Quarterly Performance Evaluations
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,13.34 Evaluation of Employees 32-41 City of New Orleans Annual Evaluations
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,13.35 Commendations and Awards 1-3 Policy
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,13.35 Commendations and Awards 4-9 Awards Nomination
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,13.35 Commendations and Awards 10-16 Awards Consideration Process
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,13.35 Commendations and Awards 17-18 Commendable or Meritorious Acts By Members of the Community
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,13.35 Commendations and Awards 19-22 Documentation of Meritorious Acts by Citizens
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,13.35 Commendations and Awards 23 Awards Committee Composition
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,13.35 Commendations and Awards 24-32 Awards Committee Actions
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,13.35 Commendations and Awards 33 Commendable or Meritorious Acts
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,13.35 Commendations and Awards 34 Awards From Outside the Department
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,13.35 Commendations and Awards 35 Departmental Awards
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,13.35 Commendations and Awards 36 Superintendent's Coin- Service of Excellence
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,13.35 Commendations and Awards 37-38 Superintendent's Coin- Service of Excellence Nomination Procedure
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,13.35 Commendations and Awards 39-41 Letter of Recognition
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,"13.35 Commendations and Awards 42-45 Replacement of Lost, Destroyed or Stolen Awards"
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,13.37 Payroll and Timekeeping 1-4 Legal Authority
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,13.37 Payroll and Timekeeping 5-7 Time Keeping Policy
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,13.37 Payroll and Timekeeping 8-14 Supervisor Responsibilities
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,13.37 Payroll and Timekeeping 15-20 Time Sheet Approvals
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,13.37 Payroll and Timekeeping 21-28 Specific Entries
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,13.37 Payroll and Timekeeping 29-31 IOD/Workman's Compensation Status
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,13.37 Payroll and Timekeeping 32-34 Temporary Assignments Outside Regular Unit
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,13.37 Payroll and Timekeeping 35 Special Event Charge Code
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,13.37 Payroll and Timekeeping 36-40 Personal Use Charge For Take-Home Vehicle
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,13.37 Payroll and Timekeeping 41-42 Civilian Employees-7 Hour Workday (35 hour Week)
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,13.37 Payroll and Timekeeping 43-44 Civilian Employees(Shift)- 8 Hour Workday (40 Hour Week)
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,13.37 Payroll and Timekeeping 45-47 Cycle Employees - 8.58 Hour Workday (85.5 Hours Biweekly)
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,13.37 Payroll and Timekeeping 48-51 Extended Computer System Failure
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,13.38 Nepotism and Employment Conflicts  Purpose/Definitions
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,13.38 Nepotism and Employment Conflicts 1-9 Restricted Duties and Assignments
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,13.38 Nepotism and Employment Conflicts 10-12 Employee Responsibilities
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,13.38 Nepotism and Employment Conflicts 13-14 Supervisor Responsibilities
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,13.5 Goals and Objectives 1 Policy Statement
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,13.5 Goals and Objectives 2-9 Required Reporting and Distribution
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,13.5 Goals and Objectives 10 Records
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,13.5 Goals and Objectives 11-12 Individual Member Goals for Performance Appraisal
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,15.1 Crime Analysis 1-5 Policy Statement
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,15.1 Crime Analysis 6-8 FOB Analytics/ Crime Analysis Unit
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,15.1 Crime Analysis 9 Data Sources
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,15.1 Crime Analysis 10 Crime Analysis Dissemination
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,16.1 Transfers/Filling Vacancies/Selection Process For Specialized Units 1-3 Policy Statement
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,16.1 Transfers/Filling Vacancies/Selection Process For Specialized Units 5-6 Immediate Family
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,16.1 Transfers/Filling Vacancies/Selection Process For Specialized Units 7-8 Transfer Notifications
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,16.1 Transfers/Filling Vacancies/Selection Process For Specialized Units 9-11 Vacancy Announcements
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,16.1 Transfers/Filling Vacancies/Selection Process For Specialized Units 12-15 Transfer Request
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,16.1 Transfers/Filling Vacancies/Selection Process For Specialized Units 16-17 Employee Files
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,16.1 Transfers/Filling Vacancies/Selection Process For Specialized Units 18-20 Transfer Selection Process For Specialized Units
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,16.1 Transfers/Filling Vacancies/Selection Process For Specialized Units 21 Member Requirements
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,16.1 Transfers/Filling Vacancies/Selection Process For Specialized Units 22 Detective Positions
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,16.1 Transfers/Filling Vacancies/Selection Process For Specialized Units 23 Education and Training Division/ Instructor Selection
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,16.1 Transfers/Filling Vacancies/Selection Process For Specialized Units 24-26 Public Integrity Bureau Selection
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,16.1 Transfers/Filling Vacancies/Selection Process For Specialized Units 27 Filling Crisis Response Unit (Special Weapons and Tactics and Crisis Negotiation Team) Vacancies
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,16.1 Transfers/Filling Vacancies/Selection Process For Specialized Units 28-32 Federal/State Task Forces
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,16.1 Transfers/Filling Vacancies/Selection Process For Specialized Units 33-40 Selection Panel Responsibilities
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,16.1 Transfers/Filling Vacancies/Selection Process For Specialized Units 41-45 Personal Section Responsibilities
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,16.5 Volunteers 1-3 Policy Statement
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,16.5 Volunteers 4-5 Volunteer Eligibility
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,16.5 Volunteers 6-8 Volunteer Management: Volunteer Coordinator
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,16.5 Volunteers 9-14 Volunteer management: Recruitment
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,16.5 Volunteers 15-18 Screening
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,16.5 Volunteers 19-22 Selection and Placement
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,16.5 Volunteers 23-28 Training
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,16.5 Volunteers 29-31 Fitness For Duty
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,16.5 Volunteers 32-34 Dress Code
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,16.5 Volunteers 35-38 Supervision of Volunteers
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,16.5 Volunteers 39-45 Confidentiality
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,16.5 Volunteers 46-48 Property and Equipment
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,16.5 Volunteers 49-54 Disciplinary Procedures/Termination
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,16.5 Volunteers 55-57 Exit Interviews
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,16.5 Volunteers 58-59 Evaluation
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,16.5 Volunteers 60 Emergency Call-Out For Volunteer Personnel
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,16.7 Police Chaplain Program 1-2 Policy
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,16.7 Police Chaplain Program 3 Goals
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,16.7 Police Chaplain Program 4 Program Member Requirements
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,16.7 Police Chaplain Program 5 Selection Process
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,16.7 Police Chaplain Program 6-8 Duties and Responsibilities
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,16.7 Police Chaplain Program 9-11 Clergy-Penitent Confidentiality
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,16.7 Police Chaplain Program 12-14 Command Structure
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,16.7 Police Chaplain Program 15-21 Operational Guidelines
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,16.7 Police Chaplain Program 22 Identification and Equipment
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,16.7 Police Chaplain Program 23-24 Training
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,17.01 Fiscal Management 1 Fiscal Management Oversight
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,17.01 Fiscal Management 2 Director of Budget
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,17.01 Fiscal Management 3 Departmental Operating Budget
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,17.01 Fiscal Management 4 Command Staff Participation
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,17.01 Fiscal Management 5 Purchasing of Equipment and Supplies
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,17.01 Fiscal Management 6 Permission to Purchase
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,17.01 Fiscal Management 7-8 Emergency Purchases of Equipment and Supplies
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,17.01 Fiscal Management 9-11 Reimbursement For Expenditures
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,17.01 Fiscal Management 12-13 Department Credit Cards
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,17.01 Fiscal Management 14-17 Supplemental Funding
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,"17.01 Fiscal Management 18-25 Collection, Safeguarding, and Distributing Cash"
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,17.01 Fiscal Management 26 Independent Audit
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,17.01 Fiscal Management 27-28 Operational Readiness of Department Equipment
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,17.3 Department-Owned and Personal Property 1 Policy Statement
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,17.3 Department-Owned and Personal Property 2-3 Care of Department Property
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,17.3 Department-Owned and Personal Property 4 Loss or Damage of Property of Another
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,17.3 Department-Owned and Personal Property 5-6 Damage by Person or Another Agency
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,17.3 Department-Owned and Personal Property 7-9 General
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,17.3 Department-Owned and Personal Property 10-18 Security and Responsibility
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,17.3 Department-Owned and Personal Property 19-22 Reporting Damage or Loss
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,17.3 Department-Owned and Personal Property 23-24 Individually Issued Department Property: Records
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,"17.3 Department-Owned and Personal Property 25-31 Individually Issued Department Property: Resignation, Termination or Retirement"
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,17.3 Department-Owned and Personal Property 32-35 Search of Department Owned Property
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,17.3 Department-Owned and Personal Property 36 Monitoring Conversations
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,"17.3 Department-Owned and Personal Property 37-43 Inventory Control of Department Property, Equipment, and Other Assets"
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,17.3 Department-Owned and Personal Property 44-46 Use of Inventory Control Tags
